hospital,existing_lat,existing_lon,new_lat,new_lon,distance_km,matched_query,status
Taluk General Hospital Haliyal,15.329973,74.764667,15.329973,74.764667,0.0,"Haliyal, Uttara Kannada, Karnataka",matches_closely
Taluk General Hospital Dandeli,15.249028,74.623604,15.249028,74.623604,0.0,"Dandeli, Uttara Kannada, Karnataka",matches_closely
Taluk General Hospital Joida,15.164551,74.485067,15.164551,74.485067,0.0,"Joida, Uttara Kannada, Karnataka",matches_closely
Taluk General Hospital Mundgod,14.971526,75.041308,14.971526,75.041308,0.0,"Mundgod, Uttara Kannada, Karnataka",matches_closely
Wenlock District Hospital Mangaluru,12.86981,74.843008,12.86981,74.843008,0.0,"Mangaluru, Karnataka",matches_closely
District Hospital Puttur,12.758473,75.200597,12.758473,75.200597,0.0,"District Hospital Puttur, Puttur, Dakshina Kannada, Karnataka",matches_closely
Taluk General Hospital Sullia,12.557664,75.390758,12.557664,75.390758,0.0,"Sullia, Dakshina Kannada, Karnataka",matches_closely
Taluk General Hospital Bantwal,12.894021,75.041558,12.894021,75.041558,0.0,"Taluk General Hospital Bantwal, Bantwal, Dakshina Kannada, Karnataka",matches_closely
Taluk General Hospital Belthangady,12.985127,75.272695,12.985127,75.272695,0.0,"Belthangady, Dakshina Kannada, Karnataka",matches_closely
Taluk General Hospital Moodabidri,13.069922,74.997747,13.069922,74.997747,0.0,"Moodabidri, Dakshina Kannada, Karnataka",matches_closely
District Hospital Udupi,13.334017,74.742304,13.334017,74.742304,0.0,"District Hospital Udupi, Udupi, Karnataka",matches_closely
Taluk General Hospital Kundapura,13.613374,74.728686,13.613374,74.728686,0.0,"Kundapura, Udupi, Karnataka",matches_closely
Taluk General Hospital Karkala,13.214541,74.995186,13.214541,74.995186,0.0,"Karkala, Udupi, Karnataka",matches_closely
Taluk General Hospital Brahmavar,13.437535,74.745397,13.437535,74.745397,0.0,"Brahmavar, Udupi, Karnataka",matches_closely
Taluk General Hospital Hebri,13.459429,74.991552,13.459429,74.991552,0.0,"Hebri, Udupi, Karnataka",matches_closely
Taluk General Hospital Byndoor,13.8718,74.632716,13.8718,74.632716,0.0,"Byndoor, Udupi, Karnataka",matches_closely
Belagavi Institute of Medical Sciences,16.158785,74.888862,16.158785,74.888862,0.0,"Belagavi, Karnataka",matches_closely
District Hospital Belagavi,15.868517,74.510307,15.868517,74.510307,0.0,"District Hospital Belagavi, Belagavi, Karnataka",matches_closely
ESI Hospital Belagavi,15.872107,74.526872,15.872107,74.526872,0.0,"ESI Hospital Belagavi, Belagavi, Karnataka",matches_closely
Taluk General Hospital Gokak,16.169303,74.822434,16.169303,74.822434,0.0,"Gokak, Belagavi, Karnataka",matches_closely
Taluk General Hospital Chikkodi,16.426528,74.586132,16.426528,74.586132,0.0,"Chikkodi, Belagavi, Karnataka",matches_closely
Taluk General Hospital Athani,16.727002,75.063143,16.727002,75.063143,0.0,"Athani, Belagavi, Karnataka",matches_closely
Taluk General Hospital Raibag,16.491617,74.774134,16.491617,74.774134,0.0,"Raibag, Belagavi, Karnataka",matches_closely
Taluk General Hospital Bailhongal,15.816422,74.856869,15.816422,74.856869,0.0,"Bailhongal, Belagavi, Karnataka",matches_closely
Taluk General Hospital Ramdurg,15.944955,75.29678,15.944955,75.29678,0.0,"Ramdurg, Belagavi, Karnataka",matches_closely
Taluk General Hospital Khanapur,15.638784,74.506102,15.638784,74.506102,0.0,"Khanapur, Belagavi, Karnataka",matches_closely
Taluk General Hospital Hukkeri,16.230857,74.602977,16.230857,74.602977,0.0,"Hukkeri, Belagavi, Karnataka",matches_closely
Taluk General Hospital Savadatti,15.767182,75.117483,15.767182,75.117483,0.0,"Savadatti, Belagavi, Karnataka",matches_closely
Taluk General Hospital Ramdurga,,,,,,,geocode_failed
S Nijalingappa Medical College Bagalkot,16.166062,75.672718,16.166062,75.672718,0.0,"S Nijalingappa Medical College Bagalkot, Bagalkot, Karnataka",matches_closely
District Hospital Bagalkot,16.165376,75.660918,16.165376,75.660918,0.0,"District Hospital Bagalkot, Bagalkot, Karnataka",matches_closely
Taluk General Hospital Mudhol,16.334021,75.286508,16.334021,75.286508,0.0,"Mudhol, Bagalkot, Karnataka",matches_closely
Taluk General Hospital Jamkhandi,16.506464,75.293218,16.506464,75.293218,0.0,"Jamkhandi, Bagalkot, Karnataka",matches_closely
Taluk General Hospital Bilgi,,,,,,,geocode_failed
Taluk General Hospital Badami,15.921668,75.677894,15.921668,75.677894,0.0,"Badami, Bagalkot, Karnataka",matches_closely
Taluk General Hospital Hungund,16.06689,76.059741,16.06689,76.059741,0.0,"Hungund, Bagalkot, Karnataka",matches_closely
Taluk General Hospital Ilkal,15.950577,76.109555,15.950577,76.109555,0.0,"Ilkal, Bagalkot, Karnataka",matches_closely
Taluk General Hospital Rabkavi Banhatti,,,,,,,geocode_failed
BLDEU Shri BM Patil Medical College Vijayapura,16.814415,75.893386,16.814415,75.893386,0.0,"Vijayapura, Karnataka",matches_closely
District Hospital Vijayapura,16.825402,75.69243,16.825402,75.69243,0.0,"District Hospital Vijayapura, Vijayapura, Karnataka",matches_closely
Taluk General Hospital Sindgi,,,,,,,geocode_failed
Taluk General Hospital Indi,17.17446,75.955376,17.17446,75.955376,0.0,"Indi, Vijayapura, Karnataka",matches_closely
Taluk General Hospital Muddebihal,16.25538,76.162412,16.25538,76.162412,0.0,"Muddebihal, Vijayapura, Karnataka",matches_closely
Taluk General Hospital Basavana Bagewadi,16.480299,75.828287,16.480299,75.828287,0.0,"Basavana Bagewadi, Vijayapura, Karnataka",matches_closely
Taluk General Hospital Chadchan,,,,,,,geocode_failed
Bidar Institute of Medical Sciences,17.919135,77.515793,17.919135,77.515793,0.0,"Bidar Institute of Medical Sciences, Bidar, Karnataka",matches_closely
District Hospital Bidar,17.917788,77.514672,17.917788,77.514672,0.0,"District Hospital Bidar, Bidar, Karnataka",matches_closely
Taluk General Hospital Aurad,18.250166,77.406739,18.250166,77.406739,0.0,"Aurad, Bidar, Karnataka",matches_closely
Taluk General Hospital Bhalki,18.000067,77.202733,18.000067,77.202733,0.0,"Bhalki, Bidar, Karnataka",matches_closely
Taluk General Hospital Humnabad,17.733241,77.217889,17.733241,77.217889,0.0,"Humnabad, Bidar, Karnataka",matches_closely
Taluk General Hospital Basavakalyan,17.869767,76.950953,17.869767,76.950953,0.0,"Basavakalyan, Bidar, Karnataka",matches_closely
Taluk General Hospital Kamalapur,17.583692,76.98185,17.583692,76.98185,0.0,"Kamalapur, Bidar, Karnataka",matches_closely
Gulbarga Institute of Medical Sciences,17.240896,76.769744,17.240896,76.769744,0.0,"Kalaburagi, Karnataka",matches_closely
ESIC Hospital Kalaburagi,17.321263,76.871739,17.321263,76.871739,0.0,"ESIC Hospital Kalaburagi, Kalaburagi, Karnataka",matches_closely
District Hospital Kalaburagi,17.328193,76.842996,17.328193,76.842996,0.0,"District Hospital Kalaburagi, Kalaburagi, Karnataka",matches_closely
Basaveshwar Teaching Hospital Kalaburagi,17.240896,76.769744,17.240896,76.769744,0.0,"Kalaburagi, Karnataka",matches_closely
Taluk General Hospital Shahapur,,,,,,,geocode_failed
Taluk General Hospital Shorapur,,,,,,,geocode_failed
Taluk General Hospital Gurmatkal,,,,,,,geocode_failed
Taluk General Hospital Chincholi,17.465199,77.418967,17.465199,77.418967,0.0,"Chincholi, Kalaburagi, Karnataka",matches_closely
Taluk General Hospital Jewargi,17.012195,76.775235,17.012195,76.775235,0.0,"Jewargi, Kalaburagi, Karnataka",matches_closely
Taluk General Hospital Afzalpur,17.200576,76.360578,17.200576,76.360578,0.0,"Afzalpur, Kalaburagi, Karnataka",matches_closely
District Hospital Yadgir,16.780902,77.102826,16.780902,77.102826,0.0,"District Hospital Yadgir, Yadgir, Karnataka",matches_closely
Taluk General Hospital Shorapur Yadgir,16.547695,76.737958,16.547695,76.737958,0.0,"Shorapur, Yadgir, Karnataka",matches_closely
Taluk General Hospital Wadagera,16.585157,77.037325,16.585157,77.037325,0.0,"Wadagera, Yadgir, Karnataka",matches_closely
Taluk General Hospital Gurmatkal Yadgir,16.867969,77.392933,16.867969,77.392933,0.0,"Gurmatkal, Yadgir, Karnataka",matches_closely
Raichur Institute of Medical Sciences,16.232867,77.362382,16.232867,77.362382,0.0,"Raichur Institute of Medical Sciences, Raichur, Karnataka",matches_closely
District Hospital Raichur,16.780902,77.102826,16.780902,77.102826,0.0,"District Hospital Raichur, Raichur, Karnataka",matches_closely
Taluk General Hospital Manvi,15.996748,77.048118,15.996748,77.048118,0.0,"Manvi, Raichur, Karnataka",matches_closely
Taluk General Hospital Sindhanur,15.768558,76.754993,15.768558,76.754993,0.0,"Sindhanur, Raichur, Karnataka",matches_closely
Taluk General Hospital Devadurga,16.417574,76.932022,16.417574,76.932022,0.0,"Devadurga, Raichur, Karnataka",matches_closely
Taluk General Hospital Lingasugur,16.1563,76.5242,16.1563,76.5242,0.0,"Lingasugur, Raichur, Karnataka",matches_closely
Taluk General Hospital Mudgal,16.01439,76.446449,16.01439,76.446449,0.0,"Mudgal, Raichur, Karnataka",matches_closely
District Hospital Koppal,15.574824,76.311849,15.574824,76.311849,0.0,"Koppal, Karnataka",matches_closely
Taluk General Hospital Gangavathi,15.430887,76.531972,15.430887,76.531972,0.0,"Gangavathi, Koppal, Karnataka",matches_closely
Taluk General Hospital Yelburga,15.615251,76.012779,15.615251,76.012779,0.0,"Yelburga, Koppal, Karnataka",matches_closely
Taluk General Hospital Kustagi,15.757158,76.190682,15.757158,76.190682,0.0,"Kustagi, Koppal, Karnataka",matches_closely
Taluk General Hospital Kuknoor,15.490275,75.993493,15.490275,75.993493,0.0,"Kuknoor, Koppal, Karnataka",matches_closely
Vijayanagara Institute of Medical Sciences Ballari,15.154925,76.895544,15.154925,76.895544,0.0,"Vijayanagara Institute of Medical Sciences Ballari, Ballari, Karnataka",matches_closely
District Hospital Ballari,15.145024,76.934674,15.145024,76.934674,0.0,"District Hospital Ballari, Ballari, Karnataka",matches_closely
Taluk General Hospital Sandur,15.083275,76.543411,15.083275,76.543411,0.0,"Sandur, Ballari, Karnataka",matches_closely
Taluk General Hospital Hadagali,,,,,,,geocode_failed
Taluk General Hospital Siruguppa,15.634557,76.893741,15.634557,76.893741,0.0,"Siruguppa, Ballari, Karnataka",matches_closely
Taluk General Hospital Hosapete,15.14179,76.91921,15.14179,76.91921,0.0,"Hosapete, Ballari, Karnataka",matches_closely
Taluk General Hospital Kudligi,14.933353,76.410162,14.933353,76.410162,0.0,"Kudligi, Ballari, Karnataka",matches_closely
Taluk General Hospital Hagaribommanahalli,,,,,,,geocode_failed
Minto Ophthalmic Hospital,,,12.957758,77.566534,,"Chamarajpet, Bengaluru, Karnataka",existing_invalid_new_available
Rajiv Gandhi Institute of Chest Diseases,,,12.894381,77.636524,,"Hosur Road, Bengaluru, Karnataka",existing_invalid_new_available
Trauma Care Centre Victoria Hospital,,,12.953935,77.585143,,"Fort, Bengaluru, Karnataka",existing_invalid_new_available
Sanjay Gandhi Accident Hospital Bengaluru,,,12.929593,77.581181,,"Byrasandra, Bengaluru, Karnataka",existing_invalid_new_available
Taluk General Hospital Mysuru Rural,,,12.315862,76.624098,,"Mysuru Taluk, Mysuru, Karnataka",existing_invalid_new_available
Taluk General Hospital Hassan Rural,,,12.984806,76.106707,,"Hassan Taluk, Hassan, Karnataka",existing_invalid_new_available
Taluk General Hospital Tumakuru Rural,,,13.462221,77.050243,,"Tumakuru Taluk, Tumakuru, Karnataka",existing_invalid_new_available
CHC Bommanahalli,,,12.903458,77.623003,,"Bommanahalli, Bengaluru, Karnataka",existing_invalid_new_available
CHC Byatarayanapura,,,13.068322,77.591006,,"Byatarayanapura, Bengaluru, Karnataka",existing_invalid_new_available
District Hospital Vijayanagara,,,15.266493,76.38723,,"Hosapete, Vijayanagara, Karnataka",existing_invalid_new_available
District Hospital Chamarajanagar,,,11.926564,76.941437,,"District Hospital Chamarajanagar, Chamarajanagar, Karnataka",existing_invalid_new_available
Taluk General Hospital Gundlupet,,,11.808496,76.691614,,"Gundlupet, Chamarajanagar, Karnataka",existing_invalid_new_available
Taluk General Hospital Kollegal,,,12.156097,77.107173,,"Kollegal, Chamarajanagar, Karnataka",existing_invalid_new_available
Taluk General Hospital Hanur,,,12.087032,77.301797,,"Hanur, Chamarajanagar, Karnataka",existing_invalid_new_available
Taluk General Hospital Nippani,,,16.40204,74.384237,,"Nippani, Belagavi, Karnataka",existing_invalid_new_available
Taluk General Hospital Kagwad,,,16.696079,74.718722,,"Kagwad, Belagavi, Karnataka",existing_invalid_new_available
Taluk General Hospital Mangaluru Rural,,,12.938237,74.877365,,"Mangaluru Taluk, Dakshina Kannada, Karnataka",existing_invalid_new_available
